domain,horizon,variant,mean_fold_gain_pct,median_fold_gain_pct,gate_passes
Agriculture,1,frequency_residual,6.243291156733799,-0.7370384737944269,0
Agriculture,1,semantic_residual,-13.936069200721832,-0.0955306311334114,0
Agriculture,3,frequency_residual,15.589497271961497,19.90060606660866,0
Agriculture,3,semantic_residual,4.050431310631767,-2.8928379319070885,0
Agriculture,6,frequency_residual,25.725911892767744,20.77075401519084,1
Agriculture,6,semantic_residual,13.962855870676535,20.411980721927247,1
Agriculture,12,frequency_residual,-4.329202774208224,3.729832106143383,1
Agriculture,12,semantic_residual,-13.182615946703889,-22.78238591320349,0
Climate,1,frequency_residual,-0.22836970854720473,0.7501239402169513,0
Climate,1,semantic_residual,-1.9239835311026763,0.221437567895455,0
Climate,4,frequency_residual,3.7319970959736235,1.847842271806932,0
Climate,4,semantic_residual,1.7223976995954828,0.9035795798309376,1
Climate,12,frequency_residual,3.9085811545227833,-4.094393313614719,0
Climate,12,semantic_residual,0.8318647721355749,1.3144589410252872,1
Climate,24,frequency_residual,7.729211154852837,10.576298087453772,0
Climate,24,semantic_residual,2.471841839331549,2.303801558677143,2
Economy,1,frequency_residual,-127.84526178109456,-136.44480952951895,0
Economy,1,semantic_residual,-37.68893526399716,-28.92338977745772,0
Economy,3,frequency_residual,-106.95502255250983,-142.5327562868045,0
Economy,3,semantic_residual,-24.401731142192627,-12.370320497027045,0
Economy,6,frequency_residual,-101.86276481194473,-129.11544719214936,0
Economy,6,semantic_residual,-50.16811483800726,-69.00127748361288,0
Economy,12,frequency_residual,-166.10015069697857,-157.11405273146747,0
Economy,12,semantic_residual,-162.3238247619427,-161.5851457429772,0
Energy,1,frequency_residual,-36.013652978325425,-48.40481315590666,0
Energy,1,semantic_residual,-2.2468397663317323,2.038599497872396,0
Energy,4,frequency_residual,-16.887532084264013,-20.03115258709261,0
Energy,4,semantic_residual,-17.199410855600764,-21.28930780973444,0
Energy,12,frequency_residual,-4.45964924888762,4.867288596647224,0
Energy,12,semantic_residual,9.840793481416837,3.005852775308804,0
Energy,24,frequency_residual,-9.009332379849871,8.747717228580242,0
Energy,24,semantic_residual,31.789230758035064,18.24916112414614,0
Environment,1,frequency_residual,0.7725748741214714,1.186655011076454,0
Environment,1,semantic_residual,1.0442283706045756,1.4563686487941263,3
Environment,7,frequency_residual,0.026454148940790973,0.7149850454892026,0
Environment,7,semantic_residual,2.0420702839911895,2.510178671474084,1
Environment,14,frequency_residual,-1.6698843067539402,-1.5090272709996857,0
Environment,14,semantic_residual,1.1765735781961422,1.6827951189802737,0
Environment,28,frequency_residual,-5.28807643346445,-4.872989923394844,0
Environment,28,semantic_residual,-0.6258655248576791,-1.427248887493704,0
Health_AFR,1,frequency_residual,-54.80468465899474,4.0842070004244775,0
Health_AFR,1,semantic_residual,-11.76622796259087,-12.272495333488376,0
Health_AFR,4,frequency_residual,-233.8855109372121,-301.8630736534167,0
Health_AFR,4,semantic_residual,28.973475826770635,35.662820510799605,0
Health_AFR,12,frequency_residual,-345.12168669183546,-206.22763311511417,0
Health_AFR,12,semantic_residual,14.420333015115789,24.80818279836025,0
Health_AFR,24,frequency_residual,-598.5637209176457,-378.6171551587576,0
Health_AFR,24,semantic_residual,-73.18015541789042,-70.27275292830248,0
Health_US,1,frequency_residual,27.23338325907938,16.068743232152883,0
Health_US,1,semantic_residual,32.19757441433497,24.50458017501419,0
Health_US,4,frequency_residual,28.396062124698734,24.25394133572821,0
Health_US,4,semantic_residual,35.1903030553726,38.41899925960836,0
Health_US,12,frequency_residual,7.645834751464144,11.10040244589755,0
Health_US,12,semantic_residual,27.499775620433653,14.424298696171125,0
Health_US,24,frequency_residual,-90.19477011042476,-115.31940822121184,0
Health_US,24,semantic_residual,-56.66752015354027,-33.170812211734834,0
Security,1,frequency_residual,-139.61126934128518,-21.281265564686525,0
Security,1,semantic_residual,-392.306999697887,-20.28366345904804,0
Security,3,frequency_residual,-169.78757096636448,-11.863335800912832,0
Security,3,semantic_residual,-572.2951077368541,-33.63569781561368,0
Security,6,frequency_residual,-290.8975360357407,-63.020742859408976,0
Security,6,semantic_residual,-876.6478181490002,-36.374122931656046,0
Security,12,frequency_residual,-379.8441925200002,-30.47312272325093,0
Security,12,semantic_residual,-1389.439555033582,-25.08223035100037,0
SocialGood,1,frequency_residual,-425.66458722232284,-114.23555400002616,0
SocialGood,1,semantic_residual,-17.567815939664772,-20.363021749606823,0
SocialGood,3,frequency_residual,-169.6095406887773,-76.34753496623294,0
SocialGood,3,semantic_residual,-1.9852805792783155,0.5799879181533685,0
SocialGood,6,frequency_residual,-80.24040380357764,-82.94097196597818,0
SocialGood,6,semantic_residual,-13.51817001310681,-21.077915619630996,0
SocialGood,12,frequency_residual,-69.61901220557348,-29.64975477714202,0
SocialGood,12,semantic_residual,-21.045228014532412,-27.456839523600877,0
Traffic,1,frequency_residual,-74.30649342822124,-102.83572947196512,0
Traffic,1,semantic_residual,-0.4362271160826842,-1.396022651176798,0
Traffic,3,frequency_residual,-70.31628275433589,-101.77476655624176,0
Traffic,3,semantic_residual,2.5113548875249414,7.639147060966501,0
Traffic,6,frequency_residual,-32.76443244899882,-20.71596993034732,0
Traffic,6,semantic_residual,-8.487890640927203,8.41091895761612,0
Traffic,12,frequency_residual,-21.824318104392024,-12.769118843914296,0
Traffic,12,semantic_residual,-12.076961221347815,5.614765437574631,0
